individual_id,island,haplotype,pi_proxy
MT-01,Mindanao,H01,0.0005771876925603498
MT-02,Mindanao,H03,0.0006541362313234713
MT-03,Mindanao,H15,0.00018079299834750684
MT-04,Mindanao,H03,0.00015955453245887895
MT-05,Samar,H16,0.00045096316784952185
MT-06,Mindanao,H06,0.00026447264932603844
MT-07,Mindanao,H10,0.000592771852829272
MT-08,Samar,H08,0.0008750752107851022
MT-09,Samar,H02,0.0005756686762718332
MT-10,Leyte,H01,0.0005402459989774105
MT-11,Mindanao,H02,0.0007880872379251302
MT-12,Leyte,H01,0.00040890993209499613
MT-13,Leyte,H11,0.000558474997898738
MT-14,Mindanao,H09,0.00027047814655325173
MT-15,Mindanao,H07,0.0006647053887977788
MT-16,Mindanao,H03,0.0009363088574532246
MT-17,Samar,H05,0.00030492980340313244
MT-18,Luzon,H05,0.0008137216062669096
MT-19,Mindanao,H08,0.0006839434869592768
MT-20,Mindanao,H14,0.0004957365338453048
MT-21,Mindanao,H04,0.0006856776265937941
MT-22,Mindanao,H01,0.00015400954425828819
MT-23,Leyte,H17,0.0006027074171371943
MT-24,Luzon,H12,0.00039921739432171915
MT-25,Mindanao,H01,0.0011275674540093693
MT-26,Mindanao,H13,0.0005979298750337169
MT-27,Mindanao,H02,0.00017182302860955324
MT-28,Mindanao,H02,0.0006538096234580513
MT-29,Mindanao,H06,0.0008376509415103247
MT-30,Mindanao,H04,0.0005868260691734974
MT-31,Mindanao,H07,0.000279382094382034
MT-32,Mindanao,H04,0.00038723392958533
