female_id,male_id,female_island,male_island,pair_score
GE-16,GE-35,Samar,Mindanao,3.0428693306822305
GE-02,GE-34,Luzon,Mindanao,2.527779376277196
GE-11,GE-31,Mindanao,Luzon,2.4217893874068315
GE-17,GE-25,Mindanao,Luzon,2.2714905399464183
GE-08,GE-28,Samar,Mindanao,2.1758367856202296
GE-15,GE-23,Mindanao,Luzon,2.0523904115570604
GE-13,GE-33,Samar,Mindanao,2.0124383464453857
GE-18,GE-27,Mindanao,Mindanao,1.991007749505137
GE-05,GE-19,Leyte,Mindanao,1.9624097539076193
GE-14,GE-22,Luzon,Mindanao,1.9502118278123612
GE-04,GE-24,Luzon,Mindanao,1.9015710364692349
GE-06,GE-30,Mindanao,Mindanao,1.895252997966257
GE-10,GE-20,Mindanao,Mindanao,1.740822226919903
GE-09,GE-29,Mindanao,Samar,1.6255966409344489
GE-07,GE-32,Mindanao,Luzon,1.6210171105382427
GE-12,GE-26,Leyte,Mindanao,1.333089501875171
GE-03,GE-21,Mindanao,Leyte,1.178356719021185
