territory_id,island,forest_integrity,fragmentation_index,human_pressure,canopy_integrity,prey_index,distance_to_road_km,persecution_risk,territory_aoh_km2,protected,home_range_95_km2,core_range_50_km2,space_time_outside_core_pct,nearest_neighbour_km,risk_score,risk_class,annual_forest_loss_rate,cluster,archetype,PC1,PC2,recommended_action,cost_units,expected_risk_reduction,benefit_cost
MI-001,Mindanao,0.383566395555246,0.6144813090202448,0.48705400694989565,0.3307574443352376,0.5809892491446613,1.0679821912931684,0.434485667047775,73.10822510822511,False,151.09175651981687,33.0,75.5816654631256,12.633938672106561,55.650105655482406,High,0.0037927273867862047,2,Fragmented pressure front,-1.255277869972794,-0.7975301391840316,Community patrol and anti-persecution,3.0,18.921035922864018,8.514466165288809
MI-002,Mindanao,0.7765362203172695,0.24787096449335094,0.28580076382761144,0.8243096034902457,0.9246256026526325,14.135593332174047,0.18199681555342465,73.10822510822511,True,116.67051361626137,23.17880860466868,78.34985605317725,10.860706246327537,11.835072692769238,Low,0.0029392045131166784,3,Relatively secure forest,2.5822492519787454,0.17501495795904853,Long-term monitoring,1.5,1.1835072692769237,0.7890048461846159
MI-003,Mindanao,0.8991390100116291,0.15133716964396776,0.3507365795951207,0.6818234511562972,0.688788558224018,9.63069485561999,0.23156626130541272,73.10822510822511,True,42.37203284124968,9.0,76.97937962001447,12.345953621032082,17.182111173870727,Low,0.0024858589009737436,3,Relatively secure forest,2.3168213510283384,0.6209426411876763,Long-term monitoring,1.5,1.7182111173870727,1.1454740782580484
MI-004,Mindanao,0.6883306739698781,0.2966254269837279,0.3297025881131053,0.6804110368528206,0.3986583361265343,10.70190615727203,0.2967581107992876,73.10822510822511,True,55.72031155190355,13.919481927752427,74.63039271436958,14.436438916524606,27.477667148304175,Low,0.0031900589366901846,0,Watch-list landscape,0.4530114007549825,-0.4145652661770742,Prey and habitat recovery,4.0,6.594640115593002,1.6486600288982505
MI-005,Mindanao,0.527496403457652,0.5710748612078171,0.6842891888135503,0.56498831127343,0.37586079721990523,1.7537525150913134,0.6501530817396547,73.10822510822511,False,80.48660802646037,15.276953736431473,78.93967935469446,11.680369161143672,65.3862555625655,High,0.005744521693792913,1,Critical intervention zone,-2.938220820116614,0.8714472219550099,Community patrol and anti-persecution,3.0,22.23132689127227,10.004097101072523
MI-006,Mindanao,0.6982636438277247,0.19108543332008263,0.6792673385121888,0.6493367537495941,0.5298374505646418,9.10127335578677,0.5147639338121782,73.10822510822511,False,44.904137714486076,9.77312154469379,77.66116270294613,17.026977895014134,46.12079666665868,Moderate,0.0030976754491508357,0,Watch-list landscape,-0.23112096749273212,1.5042603913759431,Stewardship or protected-area agreement,4.5,13.836238999997603,4.150871699999281
MI-007,Mindanao,0.6012688495298707,0.4881924938482903,0.2659822149816928,0.7131956845094869,0.47008715807691304,4.134398020402087,0.13542551408349696,73.10822510822511,False,100.28036600171842,19.723359900018114,78.6349750973771,12.546877438529403,35.18647979970496,Moderate,0.002384110743769852,2,Fragmented pressure front,0.8777925343554355,-1.6786981518191557,Stewardship or protected-area agreement,4.5,10.555943939911488,3.1667831819734467
MI-008,Mindanao,0.46654646114679726,0.7432190948860795,0.6172518797543882,0.4287726728940088,0.5555830212976878,4.03102936321862,0.6392942740189076,73.10822510822511,False,48.83112169607432,9.0,81.9505540488469,20.64727813895599,67.65263709055627,High,0.004489305641007647,1,Critical intervention zone,-2.404376306175685,0.09935854239266231,Community patrol and anti-persecution,3.0,23.00189661078913,10.350853474855109
MI-009,Mindanao,0.7043024675029844,0.26775485250473824,0.6405552393448724,0.5810954012659466,0.4631733846602058,6.678583545146,0.35514932604294625,73.10822510822511,True,53.66375658420842,9.0,81.95377078156042,10.620619125400573,37.16642670487948,Moderate,0.004056714799014501,0,Watch-list landscape,-0.3176278766518776,0.9885769711083278,Long-term monitoring,1.5,3.716642670487948,2.4777617803252987
MI-010,Mindanao,0.74647546648483,0.25984576748921284,0.24549412421386896,0.6494206676924527,0.5240384401236436,9.011980025480351,0.23365735347114916,73.10822510822511,True,107.99466954460821,20.058953111935026,78.27639894613752,10.046668863368298,20.730157552352313,Low,0.002020662124073231,3,Relatively secure forest,1.673159735460144,-0.6362375815286567,Long-term monitoring,1.5,2.0730157552352315,1.3820105034901544
MI-011,Mindanao,0.855016760207159,0.25932110181319556,0.31185902586938175,0.8038275362056612,0.5789498804996813,2.445228624895431,0.3006375175295102,73.10822510822511,True,76.57938624156183,11.089703013774999,84.2448408818829,9.671726039424398,21.45368464214429,Low,0.002310558936512105,3,Relatively secure forest,1.6641832556714604,0.13366982599083574,Community patrol and anti-persecution,3.0,7.294252778329059,2.431417592776353
MI-012,Mindanao,0.5463770408743057,0.5116788385375022,0.7370857321140115,0.5432093246698843,0.4988641754656876,4.563056585195443,0.5524227634962346,73.10822510822511,False,57.06121488013679,11.072479554501424,79.96004757646139,9.221507019873053,61.02689631711745,High,0.003633511464477494,1,Critical intervention zone,-1.6569807160346939,0.7247320658733689,Stewardship or protected-area agreement,4.5,18.308068895135232,5.49242066854057
MI-013,Mindanao,0.6392880173952447,0.29597374001124377,0.36801585205318743,0.6394006327487718,0.6463409856766956,7.684049676643585,0.2513570325803335,73.10822510822511,False,39.0,9.0,75.98488647956242,11.251846426405553,32.63558801729201,Low,0.0025622321189214888,3,Relatively secure forest,1.2212516177993422,-0.3400761833609492,Stewardship or protected-area agreement,4.5,9.790676405187602,2.9372029215562807
MI-014,Mindanao,0.7006963631328724,0.18246882658840777,0.2821203678122114,0.7708165023953665,0.7053816663804006,7.014250321898231,0.279221235470134,73.10822510822511,True,42.577396165188894,9.0,76.66733321016612,9.499698777131297,15.954767269477708,Low,0.0034333694432103377,3,Relatively secure forest,1.560232893981381,0.13085516400198485,Long-term monitoring,1.5,1.595476726947771,1.063651151298514
MI-015,Mindanao,0.7874361616696216,0.33743767592829954,0.32118345306683627,0.736953257291928,0.665038942030234,1.4609724782482951,0.35401903257275963,73.10822510822511,True,57.06321319126298,9.594382344905059,82.92718461148112,17.92606463944047,24.986297246495294,Low,0.0026247388902784054,3,Relatively secure forest,1.32109697858484,0.10389710623832832,Community patrol and anti-persecution,3.0,8.4953410638084,2.8317803546028
MI-016,Mindanao,0.6690338194695167,0.36015128197234325,0.7393493286945803,0.6848864012896602,0.5703307340115513,12.78343653443743,0.5692414356274788,73.10822510822511,False,63.805028292499316,14.467156042504696,75.55440914065501,10.387711394936778,53.63281554374778,Moderate,0.004367923533391443,0,Watch-list landscape,-1.172367080015485,1.665994109173637,Stewardship or protected-area agreement,4.5,16.089844663124335,4.826953398937301
MI-017,Mindanao,0.8339438743198339,0.11385324048676174,0.35805174092709885,0.8096370431480108,0.5948972678434966,15.15628917064999,0.25337118553566174,73.10822510822511,False,96.31418558747033,19.398188384391634,75.85018532529999,13.205283812684984,25.13355689732829,Low,0.002248563745841479,3,Relatively secure forest,1.995752068710502,0.42561927653173254,Stewardship or protected-area agreement,4.5,7.540067069198487,2.262020120759546
MI-018,Mindanao,0.9268986379312312,0.10378349165284763,0.24432385363258685,0.8528805028227369,0.6786332155540861,12.639445974122681,0.23205881387157953,73.10822510822511,True,39.0,9.0,79.56720022404113,7.832868187542183,10.58820840962413,Low,0.0026093996067909175,3,Relatively secure forest,2.6148075216984763,0.4990847049309632,Long-term monitoring,1.5,1.0588208409624131,0.7058805606416088
MI-019,Mindanao,0.7737957490442663,0.25873546696530103,0.40124953676390995,0.6402958362383165,0.6149605917488344,15.436225764957452,0.27343888925157556,73.10822510822511,True,63.877055061678604,16.28931168558926,72.75371994121774,12.64381883331941,24.843855080236334,Low,0.0027810385328983257,3,Relatively secure forest,1.328849090270946,0.2551572044984393,Long-term monitoring,1.5,2.4843855080236334,1.656257005349089
MI-020,Mindanao,0.6851099466679096,0.325072850352371,0.7771884764667415,0.6210324609915658,0.514829589516347,7.2697999999461285,0.39612623881879344,73.10822510822511,False,129.91278723384715,29.323521777638963,75.4479682670527,16.4521272640096,51.23269914329109,Moderate,0.004482720920199532,0,Watch-list landscape,-0.8470299149823037,1.4575956339685117,Stewardship or protected-area agreement,4.5,15.369809742987327,4.610942922896198
MI-021,Mindanao,0.5622615787061104,0.3953729895465954,0.13571174995942947,0.44836689071051844,0.67974942481474,8.866938262261243,0.10467473365491564,73.10822510822511,True,46.87565901463341,9.0,78.20379224148331,17.275870194199435,18.97417673381833,Low,0.00299937873391432,3,Relatively secure forest,1.6598381224955363,-1.64241152028379,Long-term monitoring,1.5,1.8974176733818329,1.2649451155878886
MI-022,Mindanao,0.737346199841405,0.31608048417204704,0.39637733231240835,0.6611535005975194,0.5913018615657006,5.989459817651023,0.31898504989833487,73.10822510822511,False,65.25264368230958,15.869651868189402,70.69690241121035,11.49139959068347,36.3019828162341,Moderate,0.002248754227709396,0,Watch-list landscape,1.1204694586020265,-0.01526434560441367,Stewardship or protected-area agreement,4.5,10.89059484487023,3.2671784534610695
MI-023,Mindanao,0.7111068596743928,0.3532232112356869,0.5054196857982157,0.6876381308014234,0.6763883580280776,2.8336333635143176,0.4230968376444019,73.10822510822511,True,47.0374483673115,9.0,77.85623902514203,14.74636405150768,32.920333355536705,Low,0.0029922520949971915,0,Watch-list landscape,0.48504899065497287,0.6453584238788521,Community patrol and anti-persecution,3.0,11.19291334088248,3.7309711136274935
MI-024,Mindanao,0.4355301642991967,0.44309300063617196,0.3448034933385981,0.5632637345527125,0.5271189392018951,5.213784757305658,0.3658285015452417,73.10822510822511,True,67.69100026746995,12.179497451853987,81.33679026272567,23.983650045654507,33.7347698285288,Low,0.0022975551727563107,2,Fragmented pressure front,-0.024511234468338732,-1.2271460591528462,Long-term monitoring,1.5,3.37347698285288,2.2489846552352533
MI-025,Mindanao,0.6508895041953966,0.37554119294341626,0.6421378396392605,0.8139186170776123,0.4763807443970835,5.497904112383457,0.4089952066037703,73.10822510822511,False,68.68548512850015,13.038628325106995,80.21155804077611,16.49261234582938,47.497260630518475,Moderate,0.0025417648532061175,0,Watch-list landscape,-0.303604841893929,0.45385945960443075,Stewardship or protected-area agreement,4.5,14.249178189155542,4.274753456746663
MI-026,Mindanao,0.6404995252703057,0.14220866706110993,0.30507378591980033,0.6519993671799265,0.4425776966193385,3.269917891233145,0.30579522470755127,73.10822510822511,False,78.87432670354661,15.926274839141243,77.51540739492789,11.97650095053648,30.068530473805062,Low,0.003232164456080507,0,Watch-list landscape,0.7655002106354993,-0.20016007539943095,Prey and habitat recovery,4.0,7.216447313713214,2.4355509683782097
MI-027,Mindanao,0.8082390449771458,0.08374127317366913,0.402822487058443,0.6670750373531147,0.6295330032974161,2.315574310131954,0.10746518689810985,73.10822510822511,True,54.50287799725647,9.0,82.7122538524413,15.81735151058092,14.724642928203549,Low,0.002362265009485122,3,Relatively secure forest,2.3608706173946623,0.2910766474197556,Community patrol and anti-persecution,3.0,5.006378595589207,1.6687928651964024
