scenario,year,median,p10,p90
Current pressure,2026,392.0,392.0,392.0
Current pressure,2027,366.0,360.0,372.0
Current pressure,2028,343.0,333.0,350.0
Current pressure,2029,320.0,310.0,330.0
Current pressure,2030,299.0,288.9,311.0
Current pressure,2031,293.0,281.0,305.0
Current pressure,2032,285.0,272.0,298.0
Current pressure,2033,278.0,264.0,291.0
Current pressure,2034,271.0,255.0,284.0
Current pressure,2035,262.0,246.0,280.0
Current pressure,2036,253.0,236.9,271.1
Current pressure,2037,246.0,228.0,264.0
Current pressure,2038,238.0,221.0,258.1
Current pressure,2039,231.0,213.9,251.0
Current pressure,2040,225.0,207.9,244.1
Current pressure,2041,219.0,202.0,237.1
Current pressure,2042,212.0,196.0,233.0
Current pressure,2043,207.0,189.0,226.1
Current pressure,2044,201.0,183.0,219.1
Current pressure,2045,195.0,178.0,215.0
Current pressure,2046,189.0,172.9,209.0
Current pressure,2047,185.0,166.0,203.0
Current pressure,2048,178.0,161.8,199.0
Current pressure,2049,172.0,155.0,193.0
Current pressure,2050,168.0,149.0,188.0
Current pressure,2051,164.0,145.0,184.0
Current pressure,2052,159.0,141.0,180.0
Current pressure,2053,155.0,138.0,175.0
Current pressure,2054,150.0,134.0,169.1
Current pressure,2055,146.0,129.9,166.0
Current pressure,2056,142.0,125.0,162.1
Current pressure,2057,137.0,121.9,157.1
Current pressure,2058,134.0,116.9,153.0
Current pressure,2059,130.0,114.0,150.0
Current pressure,2060,125.0,109.0,144.0
Current pressure,2061,121.5,107.0,142.0
Current pressure,2062,119.0,103.0,137.2
Current pressure,2063,115.0,99.0,134.1
Current pressure,2064,112.0,95.9,131.0
Current pressure,2065,109.0,93.0,127.1
Current pressure,2066,106.0,88.9,125.0
Habitat protection,2026,392.0,392.0,392.0
Habitat protection,2027,370.0,364.0,376.0
Habitat protection,2028,349.0,342.0,357.0
Habitat protection,2029,330.0,320.9,338.1
Habitat protection,2030,311.0,302.0,320.0
Habitat protection,2031,309.0,299.0,320.0
Habitat protection,2032,307.0,295.0,319.0
Habitat protection,2033,304.0,289.9,317.1
Habitat protection,2034,299.0,285.0,313.0
Habitat protection,2035,295.0,281.9,310.2
Habitat protection,2036,292.0,277.0,307.0
Habitat protection,2037,289.0,270.9,304.0
Habitat protection,2038,285.0,266.0,303.0
Habitat protection,2039,282.0,262.0,300.1
Habitat protection,2040,277.0,257.9,297.1
Habitat protection,2041,273.5,252.0,293.0
Habitat protection,2042,269.0,247.0,292.0
Habitat protection,2043,265.0,243.0,289.0
Habitat protection,2044,261.0,238.0,285.0
Habitat protection,2045,258.0,235.0,281.0
Habitat protection,2046,255.0,230.9,278.0
Habitat protection,2047,252.0,226.0,274.1
Habitat protection,2048,248.0,224.9,271.1
Habitat protection,2049,244.5,222.0,268.0
Habitat protection,2050,240.5,217.9,264.1
Habitat protection,2051,237.0,214.0,260.1
Habitat protection,2052,234.0,212.9,255.1
Habitat protection,2053,230.0,208.0,253.1
Habitat protection,2054,228.0,205.0,248.1
Habitat protection,2055,226.0,201.0,248.1
Habitat protection,2056,223.0,197.0,246.1
Habitat protection,2057,219.0,192.8,242.1
Habitat protection,2058,215.5,190.0,239.0
Habitat protection,2059,212.0,186.8,237.0
Habitat protection,2060,209.5,184.0,234.0
Habitat protection,2061,206.5,182.0,231.1
Habitat protection,2062,204.0,178.9,232.1
Habitat protection,2063,200.0,178.0,227.0
Habitat protection,2064,196.0,175.9,226.1
Habitat protection,2065,194.0,173.0,224.1
Habitat protection,2066,191.0,169.9,219.39999999999998
Anti-persecution,2026,392.0,392.0,392.0
Anti-persecution,2027,373.0,368.0,378.0
Anti-persecution,2028,355.0,347.0,361.1
Anti-persecution,2029,336.0,328.0,346.0
Anti-persecution,2030,320.0,310.0,330.0
